Step,Velocity²
945,1.6999598983836878e-06
946,1.7035551219073015e-06
947,1.7071541410341876e-06
948,1.7107569557553785e-06
949,1.7143635660618963e-06
950,1.717973971944755e-06
951,1.721588173394959e-06
952,1.7252061704035027e-06
953,1.7288279629613712e-06
954,1.7324535510595414e-06
955,1.7360829346889788e-06
956,1.7397161138406418e-06
957,1.7433530885054777e-06
958,1.7469938586744255e-06
959,1.7506384243384137e-06
960,1.7542867854883627e-06
961,1.7579389421151829e-06
962,1.7615948942097757e-06
963,1.7652546417630322e-06
964,1.7689181847658351e-06
965,1.7725855232090578e-06
966,1.7762566570835637e-06
967,1.7799315863802067e-06
968,1.783610311089833e-06
969,1.7872928312032769e-06
970,1.7909791467113652e-06
971,1.7946692576049148e-06
972,1.7983631638747332e-06
973,1.8020608655116184e-06
974,1.8057623625063597e-06
975,1.809467654849736e-06
976,1.8131767425325175e-06
977,1.8168896255454656e-06
978,1.820606303879331e-06
979,1.8243267775248556e-06
980,1.828051046472773e-06
981,1.8317791107138053e-06
982,1.8355109702386674e-06
983,1.839246625038064e-06
984,1.8429860751026894e-06
985,1.84672932042323e-06
986,1.8504763609903633e-06
987,1.8542271967947549e-06
988,1.8579818278270638e-06
989,1.8617402540779376e-06
990,1.8655024755380166e-06
991,1.8692684921979297e-06
992,1.8730383040482975e-06
993,1.876811911079731e-06
994,1.8805893132828327e-06
995,1.8843705106481942e-06
996,1.8881555031663986e-06
997,1.8919442908280196e-06
998,1.895736873623622e-06
999,1.8995332515437609e-06
